,CUST_ZIP,fraud_hits,alert_counts,fraud_alert_ratio
0,89002,1,3,0.3333333333333333
1,89002,1,3,0.3333333333333333
2,89002,1,3,0.3333333333333333
3,89822,0,5,0.0
4,89822,0,5,0.0
5,89822,0,5,0.0
6,89822,0,5,0.0
7,89822,0,5,0.0
8,89121,0,10,0.0
9,89121,0,10,0.0
10,89121,0,10,0.0
11,89121,0,10,0.0
12,89121,0,10,0.0
13,89121,0,10,0.0
14,89121,0,10,0.0
15,89121,0,10,0.0
16,89121,0,10,0.0
17,89121,0,10,0.0
18,89011,0,14,0.0
19,89011,0,14,0.0
20,89011,0,14,0.0
21,89011,0,14,0.0
22,89011,0,14,0.0
23,89011,0,14,0.0
24,89011,0,14,0.0
25,89011,0,14,0.0
26,89011,0,14,0.0
27,89011,0,14,0.0
28,89011,0,14,0.0
29,89011,0,14,0.0
30,89011,0,14,0.0
31,89011,0,14,0.0
32,89106,1,4,0.25
33,89106,1,4,0.25
34,89106,1,4,0.25
35,89106,1,4,0.25
36,89521,0,15,0.0
37,89521,0,15,0.0
38,89521,0,15,0.0
39,89521,0,15,0.0
40,89521,0,15,0.0
41,89521,0,15,0.0
42,89521,0,15,0.0
43,89521,0,15,0.0
44,89521,0,15,0.0
45,89521,0,15,0.0
46,89521,0,15,0.0
47,89521,0,15,0.0
48,89521,0,15,0.0
49,89521,0,15,0.0
50,89521,0,15,0.0
51,89169,2,10,0.2
52,89169,2,10,0.2
53,89169,2,10,0.2
54,89169,2,10,0.2
55,89169,2,10,0.2
56,89169,2,10,0.2
57,89169,2,10,0.2
58,89169,2,10,0.2
59,89169,2,10,0.2
60,89169,2,10,0.2
61,89410,1,3,0.3333333333333333
62,89410,1,3,0.3333333333333333
63,89410,1,3,0.3333333333333333
64,89117,2,6,0.3333333333333333
65,89117,2,6,0.3333333333333333
66,89117,2,6,0.3333333333333333
67,89117,2,6,0.3333333333333333
68,89117,2,6,0.3333333333333333
69,89117,2,6,0.3333333333333333
70,89086,0,1,0.0
71,89512,0,2,0.0
72,89512,0,2,0.0
73,89139,1,12,0.08333333333333333
74,89139,1,12,0.08333333333333333
75,89139,1,12,0.08333333333333333
76,89139,1,12,0.08333333333333333
77,89139,1,12,0.08333333333333333
78,89139,1,12,0.08333333333333333
79,89139,1,12,0.08333333333333333
80,89139,1,12,0.08333333333333333
81,89139,1,12,0.08333333333333333
82,89139,1,12,0.08333333333333333
83,89139,1,12,0.08333333333333333
84,89139,1,12,0.08333333333333333
85,89166,1,1,1.0
86,89431,0,7,0.0
87,89431,0,7,0.0
88,89431,0,7,0.0
89,89431,0,7,0.0
90,89431,0,7,0.0
91,89431,0,7,0.0
92,89431,0,7,0.0
93,89135,1,17,0.058823529411764705
94,89135,1,17,0.058823529411764705
95,89135,1,17,0.058823529411764705
96,89135,1,17,0.058823529411764705
